No,subjectname,level
1,Professional Issues in IT,LEVEL 5 DIPLOMA IN COMPUTING
2,Network Security and Cryptography,LEVEL 5 DIPLOMA IN COMPUTING
3,Information Systems Analysis,LEVEL 5 DIPLOMA IN COMPUTING
4,Dynamic Websites,LEVEL 5 DIPLOMA IN COMPUTING
5,"Analysis, Design and Implementation",LEVEL 5 DIPLOMA IN COMPUTING
6,Database Design and Development,LEVEL 5 DIPLOMA IN COMPUTING
7,Agile Development,LEVEL 5 DIPLOMA IN COMPUTING
8,Computing Project,LEVEL 5 DIPLOMA IN COMPUTING
9,Professional Issues in IT,LEVEL 5 DIPLOMA IN BUSINESS IT
10,Information Systems Analysis,LEVEL 5 DIPLOMA IN BUSINESS IT
11,Database Design and Development,LEVEL 5 DIPLOMA IN BUSINESS IT
12,Information Systems and Organisations,LEVEL 5 DIPLOMA IN BUSINESS IT
13,Principles of Business Operations,LEVEL 5 DIPLOMA IN BUSINESS IT
14,Office Solutions Development,LEVEL 5 DIPLOMA IN BUSINESS IT
15,Business IT Project,LEVEL 5 DIPLOMA IN BUSINESS IT
16,Skills for Computing,LEVEL 4 DIPLOMA IN COMPUTING
17,Computer Networks,LEVEL 4 DIPLOMA IN COMPUTING
18,Computer Systems,LEVEL 4 DIPLOMA IN COMPUTING
19,Designing and Developing a Website,LEVEL 4 DIPLOMA IN COMPUTING
20,Databases,LEVEL 4 DIPLOMA IN COMPUTING
21,Designing and Developing Object-Oriented Computer Programs,LEVEL 4 DIPLOMA IN COMPUTING
22,Software Development Techniques,LEVEL 4 DIPLOMA IN COMPUTING
23,Office Solutions Development,LEVEL 4 DIPLOMA IN COMPUTING
24,Skills for Computing,LEVEL 4 DIPLOMA IN BUSINESS IT
25,Computer Networks,LEVEL 4 DIPLOMA IN BUSINESS IT
26,Computer Systems,LEVEL 4 DIPLOMA IN BUSINESS IT
27,Designing and Developing a Website,LEVEL 4 DIPLOMA IN BUSINESS IT
28,Databases,LEVEL 4 DIPLOMA IN BUSINESS IT
